date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2023-01-02,SHORT,12:45,13:15,18169.9,18186.1,-16.2,50,-810.0,SIGNAL_FLIP
2023-01-02,LONG,13:20,13:45,18185.8,18173.7,-12.1,50,-605.0,SIGNAL_FLIP
2023-01-02,SHORT,13:50,14:50,18172.9,18195.8,-22.9,50,-1145.0,SIGNAL_FLIP
2023-01-02,LONG,14:55,15:10,18195.7,18193.1,-2.6,50,-130.0,TIME_EXIT
2023-01-03,SHORT,12:10,13:45,18207.4,18210.1,-2.7,50,-135.0,SIGNAL_FLIP
2023-01-03,LONG,13:50,15:10,18209.6,18240.7,31.1,50,1555.0,TIME_EXIT
2023-01-04,LONG,13:45,14:40,18098.2,18069.1,-29.1,50,-1455.0,SIGNAL_FLIP
2023-01-04,SHORT,14:45,15:10,18066.3,18052.8,13.5,50,675.0,TIME_EXIT
2023-01-05,LONG,14:50,15:10,17960.0,17989.4,29.4,50,1470.0,TIME_EXIT
2023-01-06,SHORT,10:15,15:00,17954.7,17848.8,105.9,50,5295.0,SIGNAL_FLIP
2023-01-06,LONG,15:05,15:10,17848.8,17869.8,21.0,50,1050.0,TIME_EXIT
2023-01-09,SHORT,13:05,14:45,18079.1,18073.5,5.6,50,280.0,SIGNAL_FLIP
2023-01-09,LONG,14:50,15:10,18074.0,18106.4,32.4,50,1620.0,TIME_EXIT
2023-01-10,LONG,15:15,15:15,17922.5,17919.9,-2.6,50,-130.0,TIME_EXIT
2023-01-11,LONG,10:05,11:05,17909.5,17896.7,-12.8,50,-640.0,SIGNAL_FLIP
2023-01-11,SHORT,11:10,12:25,17896.3,17914.1,-17.8,50,-890.0,SIGNAL_FLIP
2023-01-11,LONG,12:30,12:35,17913.2,17899.3,-13.9,50,-695.0,SIGNAL_FLIP
2023-01-11,SHORT,12:40,13:10,17898.0,17914.3,-16.3,50,-815.0,SIGNAL_FLIP
2023-01-11,LONG,13:15,13:55,17913.4,17894.1,-19.3,50,-965.0,SIGNAL_FLIP
2023-01-11,SHORT,14:00,14:45,17892.8,17917.4,-24.6,50,-1230.0,SIGNAL_FLIP
2023-01-11,LONG,14:50,15:10,17917.2,17891.8,-25.4,50,-1270.0,TIME_EXIT
2023-01-12,SHORT,09:55,12:50,17891.2,17846.8,44.4,50,2220.0,SIGNAL_FLIP
2023-01-12,LONG,12:55,13:25,17845.4,17788.1,-57.3,50,-2865.0,SIGNAL_FLIP
2023-01-12,SHORT,13:30,14:15,17786.9,17844.7,-57.8,50,-2890.0,SIGNAL_FLIP
2023-01-12,LONG,14:20,15:10,17843.6,17858.3,14.7,50,735.0,TIME_EXIT
2023-01-13,LONG,10:50,15:10,17828.8,17957.8,129.0,50,6450.0,TIME_EXIT
2023-01-16,SHORT,11:15,13:30,17957.1,17938.3,18.8,50,940.0,SIGNAL_FLIP
2023-01-16,LONG,13:35,13:40,17937.8,17902.8,-35.0,50,-1750.0,SIGNAL_FLIP
2023-01-16,SHORT,13:45,15:10,17903.1,17894.8,8.3,50,415.0,TIME_EXIT
2023-01-17,SHORT,12:40,14:05,17976.1,17975.7,0.4,50,20.0,SIGNAL_FLIP
2023-01-17,LONG,14:10,15:10,17976.1,18059.0,82.9,50,4145.0,TIME_EXIT
2023-01-18,SHORT,14:10,14:30,18141.8,18169.9,-28.1,50,-1405.0,SIGNAL_FLIP
2023-01-18,LONG,14:35,15:10,18170.4,18154.9,-15.5,50,-775.0,TIME_EXIT
2023-01-19,LONG,11:05,12:50,18145.7,18117.4,-28.3,50,-1415.0,SIGNAL_FLIP
2023-01-19,SHORT,12:55,14:10,18116.7,18131.3,-14.6,50,-730.0,SIGNAL_FLIP
2023-01-19,LONG,14:15,14:15,18131.6,18116.8,-14.8,50,-740.0,SIGNAL_FLIP
2023-01-19,SHORT,14:20,15:10,18114.8,18103.1,11.7,50,585.0,TIME_EXIT
2023-01-20,LONG,10:20,11:20,18126.7,18105.1,-21.6,50,-1080.0,SIGNAL_FLIP
2023-01-20,SHORT,11:25,15:10,18104.9,18029.3,75.6,50,3780.0,TIME_EXIT
2023-01-23,SHORT,12:05,13:50,18124.3,18118.7,5.6,50,280.0,SIGNAL_FLIP
2023-01-23,LONG,13:55,15:10,18118.7,18123.8,5.1,50,255.0,TIME_EXIT
2023-01-24,SHORT,11:25,15:00,18145.5,18124.1,21.4,50,1070.0,SIGNAL_FLIP
2023-01-24,LONG,15:05,15:10,18123.7,18124.2,0.5,50,25.0,TIME_EXIT
2023-01-25,LONG,13:05,13:05,17922.2,17906.1,-16.1,50,-805.0,SIGNAL_FLIP
2023-01-25,SHORT,13:10,13:40,17905.6,17919.3,-13.7,50,-685.0,SIGNAL_FLIP
2023-01-25,LONG,13:45,14:35,17919.3,17895.3,-24.0,50,-1200.0,SIGNAL_FLIP
2023-01-25,SHORT,14:40,15:10,17895.9,17896.5,-0.6,50,-30.0,TIME_EXIT
2023-01-27,LONG,15:10,15:10,17607.7,17611.6,3.9,50,195.0,TIME_EXIT
2023-01-30,SHORT,10:40,12:00,17577.2,17617.6,-40.4,50,-2020.0,SIGNAL_FLIP
2023-01-30,LONG,12:05,12:25,17617.3,17560.8,-56.5,50,-2825.0,SIGNAL_FLIP
2023-01-30,SHORT,12:30,14:20,17560.1,17536.9,23.2,50,1160.0,SIGNAL_FLIP
2023-01-30,LONG,14:25,15:10,17536.7,17656.0,119.3,50,5965.0,TIME_EXIT
2023-01-31,SHORT,10:05,10:30,17549.3,17600.6,-51.3,50,-2565.0,SIGNAL_FLIP
2023-01-31,LONG,10:35,14:15,17601.1,17610.1,9.0,50,450.0,SIGNAL_FLIP
2023-01-31,SHORT,14:20,14:55,17612.1,17662.4,-50.3,50,-2515.0,SIGNAL_FLIP
2023-01-31,LONG,15:00,15:10,17662.1,17685.0,22.9,50,1145.0,TIME_EXIT
2023-02-01,SHORT,13:40,15:10,17752.4,17634.6,117.8,50,5890.0,TIME_EXIT
2023-02-02,LONG,11:20,12:30,17599.5,17563.7,-35.8,50,-1790.0,SIGNAL_FLIP
2023-02-02,SHORT,12:35,14:20,17565.5,17600.1,-34.6,50,-1730.0,SIGNAL_FLIP
2023-02-02,LONG,14:25,15:10,17601.7,17610.8,9.1,50,455.0,TIME_EXIT
2023-02-03,SHORT,10:45,11:50,17585.4,17663.9,-78.5,50,-3925.0,SIGNAL_FLIP
2023-02-03,LONG,11:55,15:10,17664.1,17854.3,190.2,50,9510.0,TIME_EXIT
2023-02-06,LONG,13:30,15:10,17741.4,17761.8,20.4,50,1020.0,TIME_EXIT
2023-02-07,SHORT,09:50,10:35,17736.8,17778.6,-41.8,50,-2090.0,SIGNAL_FLIP
2023-02-07,LONG,10:40,11:20,17779.5,17754.2,-25.3,50,-1265.0,SIGNAL_FLIP
2023-02-07,SHORT,11:25,13:50,17753.5,17720.8,32.7,50,1635.0,SIGNAL_FLIP
2023-02-07,LONG,13:55,15:10,17720.8,17720.0,-0.8,50,-40.0,TIME_EXIT
