date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2022-07-12,SHORT,09:45,15:15,16140.9,16037.8,103.1,50,5155.0,TIME_EXIT
2022-07-15,LONG,10:00,12:15,15990.0,15947.2,-42.8,50,-2140.0,SIGNAL_FLIP
2022-07-15,SHORT,12:15,13:00,15947.2,15979.5,-32.3,50,-1615.0,SIGNAL_FLIP
2022-07-15,LONG,13:00,15:15,15979.5,16052.8,73.3,50,3665.0,TIME_EXIT
2022-07-25,SHORT,10:00,14:15,16622.2,16679.2,-57.0,50,-2850.0,SIGNAL_FLIP
2022-07-25,LONG,14:15,15:15,16679.2,16610.1,-69.1,50,-3455.0,TIME_EXIT
2022-07-27,LONG,11:00,15:15,16543.7,16642.8,99.1,50,4955.0,TIME_EXIT
2022-08-02,SHORT,10:45,11:30,17259.7,17300.5,-40.8,50,-2040.0,SIGNAL_FLIP
2022-08-02,LONG,11:30,12:45,17300.5,17266.3,-34.2,50,-1710.0,SIGNAL_FLIP
2022-08-02,SHORT,12:45,13:30,17266.3,17286.8,-20.5,50,-1025.0,SIGNAL_FLIP
2022-08-02,LONG,13:30,15:15,17286.8,17294.8,8.0,50,400.0,TIME_EXIT
2022-08-03,SHORT,10:30,14:00,17276.3,17305.4,-29.1,50,-1455.0,SIGNAL_FLIP
2022-08-03,LONG,14:00,15:15,17305.4,17392.9,87.5,50,4375.0,TIME_EXIT
2022-08-04,SHORT,11:45,15:00,17238.3,17377.4,-139.1,50,-6955.0,SIGNAL_FLIP
2022-08-04,LONG,15:00,15:15,17377.4,17364.0,-13.4,50,-670.0,TIME_EXIT
2022-08-05,SHORT,14:15,15:15,17365.6,17389.1,-23.5,50,-1175.0,TIME_EXIT
2022-08-10,SHORT,13:30,14:00,17500.1,17531.2,-31.1,50,-1555.0,SIGNAL_FLIP
2022-08-10,LONG,14:00,15:15,17531.2,17523.8,-7.4,50,-370.0,TIME_EXIT
2022-08-18,SHORT,11:15,14:15,17876.8,17915.4,-38.6,50,-1930.0,SIGNAL_FLIP
2022-08-18,LONG,14:15,15:15,17915.4,17964.4,49.0,50,2450.0,TIME_EXIT
2022-08-19,SHORT,11:15,15:15,17840.5,17726.9,113.6,50,5680.0,TIME_EXIT
2022-08-23,LONG,13:30,15:15,17562.8,17623.3,60.5,50,3025.0,TIME_EXIT
2022-08-24,SHORT,13:15,14:45,17529.6,17584.4,-54.8,50,-2740.0,SIGNAL_FLIP
2022-08-24,LONG,14:45,15:15,17584.4,17607.6,23.2,50,1160.0,TIME_EXIT
2022-08-25,SHORT,14:45,15:15,17570.1,17508.2,61.9,50,3095.0,TIME_EXIT
2022-09-01,SHORT,12:30,15:15,17609.1,17563.2,45.9,50,2295.0,TIME_EXIT
2022-09-02,LONG,12:45,15:15,17576.9,17527.8,-49.1,50,-2455.0,TIME_EXIT
2022-09-06,SHORT,10:30,11:15,17605.4,17654.6,-49.2,50,-2460.0,SIGNAL_FLIP
2022-09-06,LONG,11:15,15:00,17654.6,17653.1,-1.5,50,-75.0,SIGNAL_FLIP
2022-09-06,SHORT,15:00,15:15,17653.1,17651.6,1.5,50,75.0,TIME_EXIT
2022-09-07,LONG,13:15,15:15,17647.8,17629.5,-18.3,50,-915.0,TIME_EXIT
2022-09-14,LONG,12:45,15:15,18018.9,18000.7,-18.2,50,-910.0,TIME_EXIT
2022-09-15,SHORT,10:00,15:15,17971.6,17872.3,99.3,50,4965.0,TIME_EXIT
2022-09-19,LONG,12:30,12:45,17631.2,17619.2,-12.0,50,-600.0,SIGNAL_FLIP
2022-09-19,SHORT,12:45,13:45,17619.2,17655.9,-36.7,50,-1835.0,SIGNAL_FLIP
